id	Üst Kategori	Alt Kategori 1	Alt Kategori 2	Ürün Grubu (Leaf)	Komisyon % (KDV Dahil)	Pazarlama Hizmet Bedeli %	Pazaryeri Hizmet Bedeli %	Hakediş Süresi (Gün)
n11-1	Ayakkabı & Çanta	Ayakkabı Bakım Ürünleri	Ayakkabı Boyası & Spreyi	Ayakkabı Boyası & Spreyi	19%	%1	%0.67	24
n11-2	Ayakkabı & Çanta	Ayakkabı Bakım Ürünleri	Ayakkabı Tamir Malzemeleri	Ayakkabı Tamir Malzemeleri	19%	%1	%0.67	24
n11-3	Ayakkabı & Çanta	Ayakkabı Bakım Ürünleri	Ayakkabı Bağcığı	Ayakkabı Bağcığı	19%	%1	%0.67	24
n11-4	Ayakkabı & Çanta	Ayakkabı Bakım Ürünleri	Ayakkabı Kalıbı	Ayakkabı Kalıbı	19%	%1	%0.67	24
n11-5	Ayakkabı & Çanta	Ayakkabı Bakım Ürünleri	Ayakkabı Çekeceği	Ayakkabı Çekeceği	19%	%1	%0.67	24
n11-6	Ayakkabı & Çanta	Ayakkabı Bakım Ürünleri	Ayakkabı & Terlik Aksesuar	Ayakkabı & Terlik Aksesuar	19%	%1	%0.67	24
n11-7	Ayakkabı & Çanta	Bavul & Valiz	Büyük Boy Valiz	Büyük Boy Valiz	18%	%1	%0.67	24
n11-8	Ayakkabı & Çanta	Bavul & Valiz	Kabin Boy Valiz	Kabin Boy Valiz	18%	%1	%0.67	24
n11-9	Ayakkabı & Çanta	Bavul & Valiz	Orta Boy Valiz	Orta Boy Valiz	18%	%1	%0.67	24
n11-10	Ayakkabı & Çanta	Bavul & Valiz	Seyahat Çantaları	Seyahat Çantaları	18%	%1	%0.67	24
n11-11	Ayakkabı & Çanta	Bavul & Valiz	Valiz Seti	Valiz Seti	18%	%1	%0.67	24
n11-12	Ayakkabı & Çanta	Bavul & Valiz	Çocuk Valizleri	Çocuk Valizleri	18%	%1	%0.67	24
n11-13	Ayakkabı & Çanta	Bavul & Valiz	Seyahat Kozmetik Çantaları	Seyahat Kozmetik Çantaları	18%	%1	%0.67	24
n11-14	Ayakkabı & Çanta	Bavul & Valiz	Valiz Kılıfı & Aksesuar	Valiz Kılıfı & Aksesuar	18%	%1	%0.67	24
n11-15	Ayakkabı & Çanta	Çocuk Ayakkabı	Erkek Çocuk Ayakkabı	Erkek Çocuk Bot & Çizme	18%	%1	%0.67	24
n11-16	Ayakkabı & Çanta	Çocuk Ayakkabı	Erkek Çocuk Ayakkabı	Erkek Çocuk Günlük Ayakkabı	18%	%1	%0.67	24
n11-17	Ayakkabı & Çanta	Çocuk Ayakkabı	Erkek Çocuk Ayakkabı	Erkek Çocuk Terlik	18%	%1	%0.67	24
n11-18	Ayakkabı & Çanta	Çocuk Ayakkabı	Erkek Çocuk Ayakkabı	Erkek Çocuk Sandalet	18%	%1	%0.67	24
n11-19	Ayakkabı & Çanta	Çocuk Ayakkabı	Erkek Çocuk Ayakkabı	Erkek Çocuk Ev Terliği & Panduf	18%	%1	%0.67	24
n11-20	Ayakkabı & Çanta	Çocuk Ayakkabı	Erkek Çocuk Ayakkabı	Erkek Çocuk Deniz Ayakkabısı	18%	%1	%0.67	24
n11-21	Ayakkabı & Çanta	Çocuk Ayakkabı	Kız Çocuk Ayakkabı	Kız Çocuk Günlük Ayakkabı	18%	%1	%0.67	24
n11-22	Ayakkabı & Çanta	Çocuk Ayakkabı	Kız Çocuk Ayakkabı	Kız Çocuk Terlik	18%	%1	%0.67	24
n11-23	Ayakkabı & Çanta	Çocuk Ayakkabı	Kız Çocuk Ayakkabı	Kız Çocuk Bot & Çizme	18%	%1	%0.67	24
n11-24	Ayakkabı & Çanta	Çocuk Ayakkabı	Kız Çocuk Ayakkabı	Kız Çocuk Ev Terliği & Panduf	18%	%1	%0.67	24
n11-25	Ayakkabı & Çanta	Çocuk Ayakkabı	Kız Çocuk Ayakkabı	Kız Çocuk Deniz Ayakkabısı	18%	%1	%0.67	24
n11-26	Ayakkabı & Çanta	Çocuk Ayakkabı	Kız Çocuk Ayakkabı	Kız Çocuk Sandalet	18%	%1	%0.67	24
n11-27	Ayakkabı & Çanta	Çocuk Ayakkabı	Kız Çocuk Ayakkabı	Kız Çocuk Babet	18%	%1	%0.67	24
n11-28	Ayakkabı & Çanta	Çocuk Ayakkabı	Kız Çocuk Ayakkabı	Kız Çocuk Topuklu Ayakkabı	18%	%1	%0.67	24
n11-29	Ayakkabı & Çanta	Çocuk Çanta	Kız Çocuk Çantası	Kız Çocuk El & Sırt Çantası	18%	%1	%0.67	24
n11-30	Ayakkabı & Çanta	Çocuk Çanta	Kız Çocuk Çantası	Kız Çocuk Bel Çantası	18%	%1	%0.67	24
n11-31	Ayakkabı & Çanta	Çocuk Çanta	Kız Çocuk Çantası	Kız Çocuk Cüzdan	18%	%1	%0.67	24
n11-32	Ayakkabı & Çanta	Çocuk Çanta	Erkek Çocuk Çantası	Erkek Çocuk El & Sırt Çantası	18%	%1	%0.67	24
n11-33	Ayakkabı & Çanta	Çocuk Çanta	Erkek Çocuk Çantası	Erkek Çocuk Bel Çantası	18%	%1	%0.67	24
n11-34	Ayakkabı & Çanta	Çocuk Çanta	Erkek Çocuk Çantası	Erkek Çocuk Cüzdan	18%	%1	%0.67	24
n11-35	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Günlük Ayakkabı	Erkek Casual Ayakkabı	18%	%1	%0.67	24
n11-36	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Günlük Ayakkabı	Erkek Klasik Ayakkabı	18%	%1	%0.67	24
n11-37	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Günlük Ayakkabı	Erkek Sneaker	18%	%1	%0.67	24
n11-38	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Günlük Ayakkabı	Erkek Espadril Ayakkabı	18%	%1	%0.67	24
n11-39	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Günlük Ayakkabı	Erkek Makosen Ayakkabı	18%	%1	%0.67	24
n11-40	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Günlük Ayakkabı	Erkek Loafer Ayakkabı	18%	%1	%0.67	24
n11-41	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Günlük Ayakkabı	Erkek Oxford Ayakkabı	18%	%1	%0.67	24
n11-42	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Terlik & Sandalet	Erkek Terlik	18%	%1	%0.67	24
n11-43	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Terlik & Sandalet	Erkek Sandalet	18%	%1	%0.67	24
n11-44	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Terlik & Sandalet	Erkek Plaj Terliği	18%	%1	%0.67	24
