desiKg	Aras Kargo	Sürat Kargo	PTT Kargo	Yurtiçi Kargo	Kolay Gelsin	DHL e-Commerce
Dosya	90,50	95,32	81,82	117,84	98,39	99,16
1	90,50	95,32	81,82	117,84	98,39	99,16
2	92,14	95,32	81,82	120,83	98,39	99,16
3	102,81	107,52	101,29	128,50	108,89	112,35
4	113,82	117,25	102,88	131,04	120,44	126,03
5	122,05	121,56	102,88	146,32	129,89	137,75
6	132,97	133,13	106,25	151,43	140,39	151,43
7	141,02	142,44	112,16	171,10	149,84	160,22
8	150,45	151,10	123,97	178,31	160,34	170,00
9	159,07	160,55	135,78	188,91	169,79	181,72
10	170,09	169,74	153,48	197,37	181,34	191,49
11	179,27	183,45	161,34	210,20	191,83	201,26
12	185,87	191,17	169,22	223,36	203,39	212,01
13	194,30	198,89	177,09	230,64	213,89	221,78
14	201,80	206,61	184,95	248,87	225,44	231,55
15	209,24	214,20	192,83	262,11	236,99	246,20
16	220,97	222,19	200,70	269,32	248,53	283,33
17	232,63	233,91	208,57	284,17	260,09	297,01
18	244,37	245,62	216,44	298,72	271,64	316,55
19	256,06	257,46	224,31	305,07	283,19	341,95
20	261,08	269,18	232,18	311,44	294,73	359,54
21	274,24	281,30	240,05	329,33	306,29	373,22
22	286,25	292,08	245,96	343,78	317,84	381,04
23	298,24	302,86	253,83	352,24	329,39	408,39
24	308,90	313,64	261,70	359,05	340,94	433,80
25	319,50	324,43	269,57	383,82	352,49	460,18
26	334,36	334,81	277,45	419,55	364,04	486,56
27	347,93	345,33	285,31	439,02	375,59	512,94
28	360,06	355,71	293,19	459,06	387,14	539,32
29	373,97	366,09	301,05	474,79	398,69	565,70
30	384,58	376,48	308,92	479,50	410,24	593,05
31	397,15	450,37	432,88	493,27	421,74	628,21
32	409,72	463,41	442,72	507,08	433,24	663,37
33	422,29	476,59	452,56	520,82	444,74	698,53
34	434,86	489,63	464,36	534,59	456,24	733,69
35	447,43	502,82	474,21	548,39	467,74	768,85
36	460,00	515,86	484,03	562,17	479,24	804,01
37	472,57	529,04	495,84	576,00	490,74	839,17
38	485,14	542,09	505,68	589,75	502,24	874,33
39	497,71	555,27	515,52	603,57	513,74	909,49
40	510,28	574,44	527,32	617,34	525,24	944,65
41	522,85	587,75	537,17	631,13	536,74	979,81
42	535,42	600,93	547,00	644,93	548,24	1.014,97
43	547,99	614,24	558,80	658,61	559,74	1.050,13
44	560,56	627,42	568,65	672,43	571,24	1.085,29
45	573,13	640,74	578,48	686,20	582,74	1.120,45
46	585,70	653,91	590,29	700,01	594,24	1.155,61
47	598,27	667,22	600,13	713,82	605,74	1.190,77
48	610,84	680,41	609,97	727,61	617,24	1.225,93
49	623,41	693,72	621,77	741,38	628,74	1.261,09
50	635,98	706,89	631,62	755,19	640,24	1.296,25
51	648,55	720,21	645,90	768,93	651,74	1.331,41
52	661,12	733,39	660,20	782,76	663,24	1.366,57
53	673,69	746,70	674,49	796,46	674,74	1.401,73
54	686,26	759,88	688,79	810,27	686,24	1.436,89
55	698,83	773,19	703,08	824,05	697,74	1.472,05
56	711,40	786,37	717,37	837,87	709,24	1.507,21
57	723,97	799,69	731,66	851,66	720,74	1.542,37
58	736,54	812,86	745,95	865,48	732,24	1.577,53
59	749,11	826,17	760,25	879,23	743,74	1.612,69
60	761,68	839,36	774,54	893,05	755,24	1.647,85
61	774,25	852,67	788,84	906,77	766,74	1.683,01
62	786,82	865,85	803,13	920,62	778,24	1.718,17
63	799,39	879,16	817,42	934,31	789,74	1.753,33
64	811,96	892,34	831,71	948,13	801,24	1.788,49
65	824,53	905,65	846,00	961,88	812,74	1.823,65
66	837,10	918,83	860,30	975,72	824,24	1.858,81
67	849,67	932,14	874,59	989,50	835,74	1.893,97
68	862,24	945,33	888,89	1.003,31	847,24	1.929,13
69	874,81	958,64	903,18	1.017,06	858,74	1.964,29
70	887,38	971,81	917,46	1.030,88	870,24	1.999,45
71	899,95	985,13	931,76	1.044,62	881,74	2.034,61
72	912,52	998,31	946,05	1.058,47	893,24	2.069,77
73	925,09	1.011,62	960,35	1.072,17	904,74	2.104,93
74	937,66	1.024,80	974,64	1.085,98	916,24	2.140,09
75	950,23	1.038,11	988,93	1.099,76	927,74	2.175,25
76	962,80	1.051,29	1.003,22	1.113,55	939,24	2.210,41
77	975,37	1.064,61	1.017,51	1.127,32	950,74	2.245,57
78	987,94	1.077,78	1.031,81	1.141,15	962,24	2.280,73
79	1.000,51	1.091,09	1.046,10	1.154,92	973,74	2.315,89
80	1.013,08	1.104,28	1.060,40	1.168,73	985,24	2.351,05
