id	parentId	parentName	name	commissionRate
1			Elektronik	25
2			Giyim & Aksesuar	20
3			Takı & Gözlük & Saat	20
4			Kozmetik & Kişisel Bakım	17
5			Anne & Bebek & Oyuncak	20
6			Hobi & Oyuncak	16
7			Fotoğraf & Kamera	10
8			Ev Dekorasyon	20
9			Spor & Outdoor	16
10			Süpermarket	18
11			Yapı Market & Bahçe	16
12			Otomobil & Motosiklet	15
13			Pet Shop	17
14			Ofis & Kırtasiye	18
15			Kitap	15
16			Film & Müzik & Oyun	15
6645			Satış Sonrası Hizmetler Kategorisi	15
6724			AFAD Yardım	0
25	1	Elektronik	Bilgisayar & Tablet	20
18	1	Elektronik	Beyaz Eşya	13
19	1	Elektronik	Elektrikli Ev & Mutfak Aletleri	14
20	1	Elektronik	Telefonlar & Aksesuarları	25
21	1	Elektronik	Televizyon & Ses Sistemleri	15
22	1	Elektronik	Isıtma & Soğutma Sistemleri	13
23	1	Elektronik	Akıllı Güvenlik Sistemleri	15
349	2	Giyim & Aksesuar	Kadın	20
350	2	Giyim & Aksesuar	Erkek	20
352	2	Giyim & Aksesuar	Ayakkabı Bakım Koruma Malzemeleri	20
353	2	Giyim & Aksesuar	Bavul & Valiz	20
753	3	Takı & Gözlük & Saat	Takı	20
754	3	Takı & Gözlük & Saat	Mücevher ve Değerli Taş	15
755	3	Takı & Gözlük & Saat	Saat	20
756	3	Takı & Gözlük & Saat	Gözlük	20
757	3	Takı & Gözlük & Saat	Ziynet ve Külçe Altın	5
758	3	Takı & Gözlük & Saat	Gümüş	20
868	4	Kozmetik & Kişisel Bakım	Kozmetik	17
1000	4	Kozmetik & Kişisel Bakım	Kişisel Bakım	17
351	5	Anne & Bebek & Oyuncak	Çocuk Giyim Ürünleri ve Kıyafetleri	20
1129	5	Anne & Bebek & Oyuncak	Hamilelik ve Annelik	16
1157	5	Anne & Bebek & Oyuncak	Bebek Oyuncak	15
1163	5	Anne & Bebek & Oyuncak	Oto Koltuğu & ana kucağı	17
1168	5	Anne & Bebek & Oyuncak	Bebek Alt Değiştirme	18
1178	5	Anne & Bebek & Oyuncak	Bebek Giyim	20
1241	5	Anne & Bebek & Oyuncak	Bebek Güvenliği	17
1252	5	Anne & Bebek & Oyuncak	Bebek Maması	13
1257	5	Anne & Bebek & Oyuncak	Biberon, Emzik ve Aksesuarları	16
1265	5	Anne & Bebek & Oyuncak	Bebek Odası & Mobilya	16
1295	5	Anne & Bebek & Oyuncak	Hatıra Ürünleri	17
1300	5	Anne & Bebek & Oyuncak	Beslenme Gereçleri	16
1311	5	Anne & Bebek & Oyuncak	Kanguru ve Taşıma Ürünleri	16
1318	5	Anne & Bebek & Oyuncak	Bebek Bakım Çantası	16
4127	5	Anne & Bebek & Oyuncak	Bebek Banyo ve Tuvalet Eğitimi	13
4144	5	Anne & Bebek & Oyuncak	Bebek Arabaları ve Aksesuarları	16
4153	5	Anne & Bebek & Oyuncak	Bebek Bakım ve Sağlık	13
1320	6	Hobi & Oyuncak	Bebek Oyuncakları	15
1328	6	Hobi & Oyuncak	Kız Çocuk Oyuncakları	15
1336	6	Hobi & Oyuncak	Erkek Çocuk Oyuncakları	15
1341	6	Hobi & Oyuncak	Aktivite ve Eğitici Oyuncaklar	15
1348	6	Hobi & Oyuncak	Oyuncak Arabalar	15
1355	6	Hobi & Oyuncak	Kostüm ve Parti Malzemeleri	20
1367	6	Hobi & Oyuncak	Puzzlelar	15
1374	6	Hobi & Oyuncak	Kutu Oyunları	15
1377	6	Hobi & Oyuncak	Peluş Oyuncaklar	15
1378	6	Hobi & Oyuncak	Yetişkin Hobi&Oyun	15
1390	6	Hobi & Oyuncak	Akülü ve Pedallı Araçlar	15
1398	6	Hobi & Oyuncak	Oyuncak Figürler	15
1402	6	Hobi & Oyuncak	Açık Hava Oyuncakları	15
1418	6	Hobi & Oyuncak	Oyuncak Müzik Aletleri	15
1424	7	Fotoğraf & Kamera	Aksiyon Kameralar	10
1429	7	Fotoğraf & Kamera	Fotoğraf Makineleri	10
1437	7	Fotoğraf & Kamera	Video Kameralar	10
1444	7	Fotoğraf & Kamera	Fotoğraf & Kamera Aksesuarları	10
1473	7	Fotoğraf & Kamera	Karanlık Oda	10
1486	7	Fotoğraf & Kamera	Dijital Fotoğraf Çerçeveleri	10
1487	8	Ev Dekorasyon	Mobilya	20
1553	8	Ev Dekorasyon	Ev Tekstili	20
1632	8	Ev Dekorasyon	Mutfak Araçları ve Gereçleri	20
1716	8	Ev Dekorasyon	Dekorasyon	20
1776	8	Ev Dekorasyon	Banyo	20
6615	8	Ev Dekorasyon	Ev Gereçleri	20
6884	8	Ev Dekorasyon	Aydınlatma	20
1480	9	Spor & Outdoor	Optik Malzemeler ve Mikroskoplar	12
1787	9	Spor & Outdoor	Spor & Fitness	15
2089	9	Spor & Outdoor	Outdoor	16
7064	9	Spor & Outdoor	Aksiyon Kameralar	12
1169	10	Süpermarket	Bebek Bezi & Islak Mendil & Havlu	18
2274	10	Süpermarket	Deterjan Temizlik Ürünleri	18
2311	10	Süpermarket	Kağıt Ürünleri	18
2330	10	Süpermarket	Mutfak Sarf Malzemeleri	18
2339	10	Süpermarket	İçecek	18
2365	10	Süpermarket	Gıda	18
2594	10	Süpermarket	Kuru Gıdalar	18
2788	11	Yapı Market & Bahçe	Elektrikli El Aletleri	13
2857	11	Yapı Market & Bahçe	El Aletleri	16
2910	11	Yapı Market & Bahçe	Aydınlatma	13
2939	11	Yapı Market & Bahçe	Elektrik ve Tesisat Malzemeleri	13
2962	11	Yapı Market & Bahçe	Banyo Ve Mutfak Vitrifiye	13
2990	11	Yapı Market & Bahçe	Banyo Ürünleri	16
2995	11	Yapı Market & Bahçe	Hırdavat Ürünleri	16
3045	11	Yapı Market & Bahçe	Güvenlik Ürünleri	16
3071	11	Yapı Market & Bahçe	Reklam ve Tanıtım Ürünleri	16
3077	11	Yapı Market & Bahçe	İnşaat Malzemeleri	16
3090	11	Yapı Market & Bahçe	Endüstriyel Ekipmanlar	13
3094	11	Yapı Market & Bahçe	Jeneratörler	13
3097	11	Yapı Market & Bahçe	Boya ve Boya Malzemeleri	13
3111	11	Yapı Market & Bahçe	Ölçüm Aletleri	13
3127	11	Yapı Market & Bahçe	Bahçe Makineleri	13
3176	11	Yapı Market & Bahçe	Bahçe Aletleri	16
3192	11	Yapı Market & Bahçe	Bahçe Sulama Ekipmanları	13
3198	11	Yapı Market & Bahçe	Bahçe Mobilyası	16
3212	11	Yapı Market & Bahçe	Çiçek Bakımı ve Bitki Yetiştirme	16
3239	11	Yapı Market & Bahçe	Hayvancılık Ürünleri	16
3245	11	Yapı Market & Bahçe	Bahçe ve Ev Kovucular	16
3249	11	Yapı Market & Bahçe	Mangal ve Barbekü	13
3255	11	Yapı Market & Bahçe	Bahçe Dekorasyonu	16
3260	11	Yapı Market & Bahçe	Havuz Ürünleri	16
3267	11	Yapı Market & Bahçe	Ahşap Ürünleri	16
3270	11	Yapı Market & Bahçe	Soba ve Şömineler	16
3273	12	Otomobil & Motosiklet	Oto Aksesuar	13
3349	12	Otomobil & Motosiklet	Oto Ses Ve Görüntü Sistemleri	10
3361	12	Otomobil & Motosiklet	Oto Lastik Ve Jant	10
3368	12	Otomobil & Motosiklet	Yedek Parçalar	13
3431	12	Otomobil & Motosiklet	Modifiye Ve Tuning	13
3458	12	Otomobil & Motosiklet	Motosiklet, Utv Ve Atv	13
3525	12	Otomobil & Motosiklet	4x4 Off Road	13
6926	12	Otomobil & Motosiklet	Lastik Montaj Hizmetleri	15
3534	13	Pet Shop	Köpek	17
3616	13	Pet Shop	Kedi	17
3682	13	Pet Shop	Kuş	17
3702	13	Pet Shop	Balık	17
3763	13	Pet Shop	Hamster & Tavşan	17
3774	13	Pet Shop	Kaplumbağa	17
211	14	Ofis & Kırtasiye	Projeksiyon Cihazları	10
212	14	Ofis & Kırtasiye	Projeksiyon Perdesi	10
213	14	Ofis & Kırtasiye	Sunum Kumandaları	10
214	14	Ofis & Kırtasiye	Projeksiyon Aksesuarları	10
3781	14	Ofis & Kırtasiye	Bantlar ve Yapıştırıcılar	18
3791	14	Ofis & Kırtasiye	Dosyalama ve Organizasyon	18
3816	14	Ofis & Kırtasiye	Ofis ve Kırtasiye Ürünleri	18
3887	14	Ofis & Kırtasiye	Ofis Makineleri	18
3909	14	Ofis & Kırtasiye	Ofis Mobilyası	18
3919	14	Ofis & Kırtasiye	Masa Araçları	18
3935	14	Ofis & Kırtasiye	Kağıt Ürünleri	18
3944	14	Ofis & Kırtasiye	Sanatsal Malzemeler	18
7035	14	Ofis & Kırtasiye	Projeksiyon Sistemleri	15
3964	15	Kitap	Edebiyat ve Kurgu	15
3978	15	Kitap	Ders ve Eğitim	15
3998	15	Kitap	Sınavlara Hazırlık	15
4029	15	Kitap	Çocuk ve Gençlik Kitapları	15
4037	15	Kitap	Siyaset, Felsefe Sosyal Bilimler	15
4041	15	Kitap	Din ve Mitoloji	15
4042	15	Kitap	Sağlık, Spor ve Beslenme	15
4051	15	Kitap	Ekonomi ve Finans	15
4059	15	Kitap	Güzel Sanatlar ve Fotoğraf	15
4065	15	Kitap	Bilgisayarlar ve İnternet	15
4074	15	Kitap	Akademik Bilimler	15
4086	15	Kitap	Seyahat ve Turizm	15
4089	15	Kitap	Yabancı Kaynaklar	15
4094	16	Film & Müzik & Oyun	Film	15
4099	16	Film & Müzik & Oyun	Müzik	15
4113	16	Film & Müzik & Oyun	Video Oyunu	15
24	17	Bilgisayar & Tablet	Dizüstü Bilgisayarlar	6
26	17	Bilgisayar & Tablet	Tabletler	6
27	17	Bilgisayar & Tablet	Veri Depolama	10
28	17	Bilgisayar & Tablet	Bilgisayar Bileşenleri	8
29	17	Bilgisayar & Tablet	Çevre Birimleri	12
30	17	Bilgisayar & Tablet	Monitörler	8
31	17	Bilgisayar & Tablet	Yazılım Ürünleri	40
32	17	Bilgisayar & Tablet	Ağ & Modem	10
33	17	Bilgisayar & Tablet	Yazıcı & Aksesuarları	8
34	17	Bilgisayar & Tablet	Barkod Ürünleri	10
35	17	Bilgisayar & Tablet	Yenilenmiş & İkinci El Ürünler	15
36	17	Bilgisayar & Tablet	Bilgisayar Aksesuarları	20
4125	17	Bilgisayar & Tablet	Sunucu	8
37	18	Beyaz Eşya	Buzdolapları	12
38	18	Beyaz Eşya	Çamaşır Makineleri	12
39	18	Beyaz Eşya	Bulaşık Makineleri	12
40	18	Beyaz Eşya	Ankastre Setler	14.4
41	18	Beyaz Eşya	Davlumbazlar	14.4
42	18	Beyaz Eşya	Aspiratörler	14.4
43	18	Beyaz Eşya	Ocaklar	14.4
44	18	Beyaz Eşya	Fırınlar	14.4
45	18	Beyaz Eşya	Mikrodalga Fırınlar	14.4
46	18	Beyaz Eşya	Su Sebilleri	13
47	18	Beyaz Eşya	Derin Dondurucular	12
48	18	Beyaz Eşya	Beyaz Eşya Yedek Parça	15
4120	18	Beyaz Eşya	Endüstriyel Beyaz Eşyalar	15
4123	18	Beyaz Eşya	Kurutma Makineleri	12
49	19	Elektrikli Ev & Mutfak Aletleri	Elektrikli Mutfak Aletleri	14
50	19	Elektrikli Ev & Mutfak Aletleri	Elektrikli Süpürgeler	14
51	19	Elektrikli Ev & Mutfak Aletleri	Ütüler	14
52	19	Elektrikli Ev & Mutfak Aletleri	Dikiş Makineleri	14
53	20	Telefonlar & Aksesuarları	Cep Telefonları	5
54	20	Telefonlar & Aksesuarları	Cep Telefonu Aksesuarları	25
55	20	Telefonlar & Aksesuarları	Giyilebilir Teknoloji Ürünleri	10
56	20	Telefonlar & Aksesuarları	Cep Telefonu Yedek Parçaları	22
57	20	Telefonlar & Aksesuarları	Telsiz & Masaüstü Telefonlar	15
58	20	Telefonlar & Aksesuarları	Yenilenmiş & İkinci El Telefonlar	10
59	21	Televizyon & Ses Sistemleri	Televizyonlar	7
60	21	Televizyon & Ses Sistemleri	Televizyon Aksesuarları	15
61	21	Televizyon & Ses Sistemleri	Uydu Sistemleri	15
62	21	Televizyon & Ses Sistemleri	Projeksiyon Sistemleri	10
63	21	Televizyon & Ses Sistemleri	Bluetooth Hoparlörler	15
64	21	Televizyon & Ses Sistemleri	Ses Sistemleri	15
65	21	Televizyon & Ses Sistemleri	Müzik Sistemleri	15
4175	21	Televizyon & Ses Sistemleri	Oyun Konsolları & Aksesuarlar	10
66	22	Isıtma & Soğutma Sistemleri	Kombiler	13
67	22	Isıtma & Soğutma Sistemleri	Klima & Aksesuarları	13
68	22	Isıtma & Soğutma Sistemleri	Termostatlar	15
69	22	Isıtma & Soğutma Sistemleri	Termosifonlar	14.4
70	22	Isıtma & Soğutma Sistemleri	Şofbenler	14.4
71	22	Isıtma & Soğutma Sistemleri	Sobalar & Isıtıcılar	15
72	22	Isıtma & Soğutma Sistemleri	Vantilatörler	13
73	22	Isıtma & Soğutma Sistemleri	Hava Temizleyiciler	14
74	22	Isıtma & Soğutma Sistemleri	Hava Perdeleri	13
75	23	Akıllı Güvenlik Sistemleri	Güvenlik Kameraları	15
76	23	Akıllı Güvenlik Sistemleri	Kayıt ve Görüntüleme Sistemleri	15
77	23	Akıllı Güvenlik Sistemleri	Aktif Network Ürünleri	15
78	23	Akıllı Güvenlik Sistemleri	Pasif Network Ürünleri	15
79	23	Akıllı Güvenlik Sistemleri	Güvenlik Sistemi Bileşenleri	15
80	23	Akıllı Güvenlik Sistemleri	Alarm Sistemleri	15
81	23	Akıllı Güvenlik Sistemleri	Elektronik Kasalar	15
82	23	Akıllı Güvenlik Sistemleri	Geçiş Kontrol Sistemleri	15
83	23	Akıllı Güvenlik Sistemleri	Akıllı Ev Sistemleri	15
84	27	Veri Depolama	SSD (Solid State Drive)	10
85	27	Veri Depolama	Sabit Disk (HDD)	10
