tier	price
0-500 Gr/Desi	77.5
501-1000 Gr/Desi	78.75
1,01-2 Kg/Desi	81.25
2,01-3 Kg/Desi	82.5
3,01-4 Kg/Desi	85.0
4,01-5 Kg/Desi	86.25
5,01-6 Kg/Desi	90.0
6,01-7 Kg/Desi	103.75
7,01-8 Kg/Desi	125.0
8,01-9 Kg/Desi	131.25
9,01-10 Kg/Desi	138.75
10,01-11 Kg/Desi	143.75
11,01-12 Kg/Desi	153.75
12,01-13 Kg/Desi	158.75
13,01-14 Kg/Desi	165.0
14,01-15 Kg/Desi	153.75
15,01-16 Kg/Desi	156.25
16,01-17 Kg/Desi	157.5
17,01-18 Kg/Desi	168.75
18,01-19 Kg/Desi	168.75
19,01-20 Kg/Desi	168.75
20,01-21 Kg/Desi	169.9
21,01-22 Kg/Desi	169.9
22,01-23 Kg/Desi	169.9
23,01-24 Kg/Desi	169.9
24,01-25 Kg/Desi	169.9
25,01-26 Kg/Desi	194.9
26,01-27 Kg/Desi	194.9
27,01-28 Kg/Desi	194.9
28,01-29 Kg/Desi	194.9
29,01-30 Kg/Desi	194.9
30,01-31 Kg/Desi	199.9
31,01-32 Kg/Desi	209.9
32,01-33 Kg/Desi	207.9
33,01-34 Kg/Desi	219.9
34,01-35 Kg/Desi	229.9
35,01-36 Kg/Desi	239.9
36,01-37 Kg/Desi	287.5
37,01-38 Kg/Desi	291.25
38,01-39 Kg/Desi	301.25
39,01-40 Kg/Desi	303.75
40,01-41 Kg/Desi	337.5
41,01-42 Kg/Desi	343.75
42,01-43 Kg/Desi	348.75
43,01-44 Kg/Desi	353.75
44,01-45 Kg/Desi	360.0
45,01-46 Kg/Desi	365.0
46,01-47 Kg/Desi	373.75
47,01-48 Kg/Desi	378.75
48,01-49 Kg/Desi	380.0
49,01-50 Kg/Desi	390.0
50,01-51 Kg/Desi	398.75
51,01-52 Kg/Desi	410.0
52,01-53 Kg/Desi	421.25
53,01-54 Kg/Desi	430.0
54,01-55 Kg/Desi	442.5
55,01-56 Kg/Desi	460.0
56,01-57 Kg/Desi	467.5
57,01-58 Kg/Desi	476.25
58,01-59 Kg/Desi	492.5
59,01-60 Kg/Desi	501.25
60,01-61 Kg/Desi	512.5
61,01-62 Kg/Desi	521.25
62,01-63 Kg/Desi	532.5
63,01-64 Kg/Desi	543.75
64,01-65 Kg/Desi	557.5
65,01-66 Kg/Desi	568.75
66,01-67 Kg/Desi	582.5
67,01-68 Kg/Desi	590.0
68,01-69 Kg/Desi	603.75
69,01-70 Kg/Desi	615.0
70,01-71 Kg/Desi	623.75
71,01-72 Kg/Desi	635.0
72,01-73 Kg/Desi	646.25
73,01-74 Kg/Desi	656.25
74,01-75 Kg/Desi	667.5
75,01-76 Kg/Desi	681.25
76,01-77 Kg/Desi	687.5
77,01-78 Kg/Desi	706.25
78,01-79 Kg/Desi	712.5
79,01-80 Kg/Desi	728.75
80,01-81 Kg/Desi	737.5
81,01-82 Kg/Desi	746.25
82,01-83 Kg/Desi	758.75
83,01-84 Kg/Desi	770.0
84,01-85 Kg/Desi	778.75
85,01-86 Kg/Desi	795.0
86,01-87 Kg/Desi	803.75
87,01-88 Kg/Desi	820.0
88,01-89 Kg/Desi	828.75
89,01-90 Kg/Desi	835.0
90,01-91 Kg/Desi	851.25
91,01-92 Kg/Desi	860.0
92,01-93 Kg/Desi	870.0
93,01-94 Kg/Desi	885.0
94,01-95 Kg/Desi	892.5
95,01-96 Kg/Desi	910.0
96,01-97 Kg/Desi	917.5
97,01-98 Kg/Desi	926.25
98,01-99 Kg/Desi	998.21
99,01-100 Kg/Desi	1019.64
101.0	1253.18
102.0	1261.06
103.0	1268.93
104.0	1276.81
105.0	1284.68
106.0	1292.56
107.0	1300.43
108.0	1308.31
109.0	1316.18
110.0	1324.06
111.0	1331.93
112.0	1339.81
113.0	1347.68
114.0	1355.56
115.0	1363.43
116.0	1371.31
117.0	1379.18
118.0	1387.06
119.0	1394.93
120.0	1402.81
121.0	1410.68
122.0	1418.56
123.0	1426.43
124.0	1434.31
125.0	1442.18
126.0	1450.06
127.0	1457.93
128.0	1465.81
129.0	1473.68
130.0	1481.56
131.0	1489.43
132.0	1497.31
133.0	1505.18
134.0	1513.06
135.0	1520.93
136.0	1528.81
137.0	1536.68
138.0	1544.56
139.0	1552.43
140.0	1560.31
141.0	1568.18
142.0	1576.06
143.0	1583.93
144.0	1591.81
145.0	1599.68
146.0	1607.56
147.0	1615.43
148.0	1623.31
149.0	1631.18
150.0	1639.06
151.0	1646.93
152.0	1654.81
153.0	1662.68
154.0	1670.56
155.0	1678.43
156.0	1686.31
157.0	1694.18
158.0	1702.06
159.0	1709.93
160.0	1717.81
161.0	1725.68
162.0	1733.56
163.0	1741.43
164.0	1749.31
165.0	1757.18
166.0	1765.06
167.0	1772.93
168.0	1780.81
169.0	1788.68
170.0	1796.56
171.0	1804.43
172.0	1812.31
173.0	1820.18
174.0	1828.06
175.0	1835.93
176.0	1843.81
177.0	1851.68
178.0	1859.56
179.0	1867.43
180.0	1875.31
181.0	1883.18
182.0	1891.06
183.0	1898.93
184.0	1906.81
185.0	1914.68
186.0	1922.56
187.0	1930.43
188.0	1938.31
189.0	1946.18
190.0	1954.06
191.0	1961.93
192.0	1969.81
193.0	1977.68
194.0	1985.56
195.0	1993.43
196.0	2001.31
197.0	2009.18
198.0	2017.06
199.0	2024.93
200.0	2032.81
201.0	2040.68
202.0	2048.56
203.0	2056.43
204.0	2064.31
205.0	2072.18
206.0	2080.06
207.0	2087.93
208.0	2095.81
209.0	2103.68
210.0	2111.56
211.0	2119.43
212.0	2127.31
213.0	2135.18
214.0	2143.06
215.0	2150.93
216.0	2158.81
217.0	2166.68
218.0	2174.56
219.0	2182.43
220.0	2190.31
221.0	2198.18
222.0	2206.06
223.0	2213.93
224.0	2221.81
225.0	2229.68
226.0	2237.56
227.0	2245.43
228.0	2253.31
229.0	2261.18
230.0	2269.06
231.0	2276.93
232.0	2284.81
233.0	2292.68
234.0	2300.56
235.0	2308.43
236.0	2316.31
237.0	2324.18
238.0	2332.06
239.0	2339.93
240.0	2347.81
241.0	2355.68
242.0	2363.56
243.0	2371.43
244.0	2379.31
245.0	2387.18
246.0	2395.06
247.0	2402.93
248.0	2410.81
249.0	2418.68
250.0	2426.56
251.0	2434.43
252.0	2442.31
253.0	2450.18
254.0	2458.06
255.0	2465.93
256.0	2473.81
257.0	2481.68
258.0	2489.56
259.0	2497.43
260.0	2505.31
261.0	2513.18
262.0	2521.06
263.0	2528.93
264.0	2536.81
265.0	2544.68
266.0	2552.56
267.0	2560.43
268.0	2568.31
269.0	2576.18
270.0	2584.06
271.0	2591.93
272.0	2599.81
273.0	2607.68
274.0	2615.56
275.0	2623.43
276.0	2631.31
277.0	2639.18
278.0	2647.06
279.0	2654.93
280.0	2662.81
281.0	2670.68
282.0	2678.56
283.0	2686.43
284.0	2694.31
285.0	2702.18
286.0	2710.06
287.0	2717.93
288.0	2725.81
289.0	2733.68
290.0	2741.56
291.0	2749.43
292.0	2757.31
293.0	2765.18
294.0	2773.06
295.0	2780.93
296.0	2788.81
297.0	2796.68
298.0	2804.56
299.0	2812.43
300.0	2820.3
301.0	2962.85
302.0	2971.1
303.0	2979.35
304.0	2987.6
305.0	2995.85
306.0	3004.1
307.0	3012.35
308.0	3020.6
309.0	3028.85
310.0	3037.1
311.0	3045.35
312.0	3053.6
313.0	3061.85
314.0	3070.1
315.0	3078.35
316.0	3086.6
317.0	3094.85
318.0	3103.1
319.0	3111.35
320.0	3119.6
321.0	3127.85
322.0	3136.1
323.0	3144.35
324.0	3152.6
325.0	3160.85
326.0	3169.1
327.0	3177.35
328.0	3185.6
329.0	3193.85
330.0	3202.1
331.0	3210.35
332.0	3218.6
333.0	3226.85
334.0	3235.1
335.0	3243.35
336.0	3251.6
337.0	3259.85
338.0	3268.1
339.0	3276.35
340.0	3284.6
341.0	3292.85
342.0	3301.1
343.0	3309.35
344.0	3317.6
345.0	3325.85
346.0	3334.1
347.0	3342.35
348.0	3350.6
349.0	3358.85
350.0	3367.1
351.0	3375.35
352.0	3383.6
353.0	3391.85
354.0	3400.1
355.0	3408.35
356.0	3416.6
357.0	3424.85
358.0	3433.1
359.0	3441.35
360.0	3449.6
361.0	3457.85
362.0	3466.1
363.0	3474.35
364.0	3482.6
365.0	3490.85
366.0	3499.1
367.0	3507.35
368.0	3515.6
369.0	3523.85
370.0	3532.1
371.0	3540.35
372.0	3548.6
373.0	3556.85
374.0	3565.1
375.0	3573.35
376.0	3581.6
377.0	3589.85
378.0	3598.1
379.0	3606.35
380.0	3614.6
381.0	3622.85
382.0	3631.1
383.0	3639.35
384.0	3647.6
385.0	3655.85
386.0	3664.1
387.0	3672.35
388.0	3680.6
389.0	3688.85
390.0	3697.1
391.0	3705.35
392.0	3713.6
393.0	3721.85
394.0	3730.1
395.0	3738.35
396.0	3746.6
397.0	3754.85
398.0	3763.1
399.0	3771.35
400.0	3779.6
401.0	3787.85
402.0	3796.1
403.0	3804.35
404.0	3812.6
405.0	3820.85
406.0	3829.1
407.0	3837.35
408.0	3845.6
409.0	3853.85
410.0	3862.1
411.0	3870.35
412.0	3878.6
413.0	3886.85
414.0	3895.1
415.0	3903.35
416.0	3911.6
417.0	3919.85
418.0	3928.1
419.0	3936.35
420.0	3944.6
421.0	3952.85
422.0	3961.1
423.0	3969.35
424.0	3977.6
425.0	3985.85
426.0	3994.1
427.0	4002.35
428.0	4010.6
429.0	4018.85
430.0	4027.1
431.0	4035.35
432.0	4043.6
433.0	4051.85
434.0	4060.1
435.0	4068.35
436.0	4076.6
437.0	4084.85
438.0	4093.1
