Kategori	Alt Kategori	Ürün Grubu	Kategori Komisyon % (KDV Dahil)
Aksesuar	Altın (İşlenmemiş)	Altın (İşlenmemiş)	9.00%
Aksesuar	Mücevher	Altın, Gümüş, Pırlanta Takı ve Takı Setleri	21.50%
Aksesuar	Atkı & Bere & Eldiven	Atkı, Atkı & Bere & Eldiven Set, Bere, Boyunluk, Eldiven, Şal & Fular & Eşarp	21.50%
Aksesuar	Gözlük	Güneş Gözlüğü, Mavi Işık Korumalı Gözlük , İmaj Gözlüğü	21.50%
Aksesuar	Takı	Halhal&Ayak Aksesuarları, Bijuteri Bileklik, Çelik Bileklik, Choker, Bijuteri Kolye, Çelik Kolye	22.50%
Aksesuar	Diğer Aksesuar	Kemer, Saç Aksesuarı, Kravat & Pantolon Askısı, Kol Düğmesi, Şapka	22.50%
Aksesuar	Saat	Saat, Saat Kordonu	21.50%
Ayakkabı & Çanta	Ayakkabı	Ayakkabı , Terlik, Diğer Ayakkabı Ürünleri	21.50%
Ayakkabı & Çanta	Çanta	Çanta, Cüzdan, Valiz & Bavul	21.50%
Bahçe & Elektrikli El Aletleri	Bahçe	Bahçe & Balkon Isıtma - Şömine	20.00%
Bahçe & Elektrikli El Aletleri	Bahçe	Bahçe Aydınlatması	20.50%
Bahçe & Elektrikli El Aletleri	Bahçe	Bahçe Dekorasyonu, Çitler, Gübre, Saksı, Tohumlar, Torf ve Topraklar	20.00%
Bahçe & Elektrikli El Aletleri	Bahçe	Bahçe Makine Yağları	17.00%
Bahçe & Elektrikli El Aletleri	Bahçe	Bahçe Makineleri, Çapa Makineleri, Tırpanlar	16.00%
Bahçe & Elektrikli El Aletleri	Bahçe	Bungalov ve Prefabrik Evler	12.00%
Bahçe & Elektrikli El Aletleri	Bahçe	Çim Biçme Makineleri	16.00%
Bahçe & Elektrikli El Aletleri	Elektrikli El Aletleri	El Aletleri, Elektrikli El Aletleri ve Aksesuarları, Manuel El Aletleri, Akülü Vidalama, Matkaplar	16.50%
